2023-06-13 23:42:37 0 [Note] Starting MariaDB 10.4.28-MariaDB source revision c8f2e9a5c0ac5905f28b050b7df5a9ffd914b7e7 as process 16276
2023-06-13 23:42:37 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2023-06-13 23:42:37 0 [Note] InnoDB: Uses event mutexes
2023-06-13 23:42:37 0 [Note] InnoDB: Compressed tables use zlib 1.2.12
2023-06-13 23:42:37 0 [Note] InnoDB: Number of pools: 1
2023-06-13 23:42:37 0 [Note] InnoDB: Using SSE2 crc32 instructions
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=364] with future log sequence number 2557631
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=227] with future log sequence number 2557631
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=361] with future log sequence number 2557587
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=224] with future log sequence number 2557587
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=360] with future log sequence number 2557543
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=223] with future log sequence number 2557543
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=359] with future log sequence number 2557499
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=222] with future log sequence number 2557499
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=358] with future log sequence number 2557455
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=221] with future log sequence number 2557455
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=356] with future log sequence number 2557395
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=219] with future log sequence number 2557395
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=353] with future log sequence number 2557351
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=216] with future log sequence number 2557351
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=351] with future log sequence number 2557307
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=214] with future log sequence number 2557307
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=350] with future log sequence number 2557263
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=213] with future log sequence number 2557263
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=349] with future log sequence number 2557219
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=212] with future log sequence number 2557219
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=348] with future log sequence number 2557113
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=211] with future log sequence number 2557113
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=438] with future log sequence number 2557069
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=208] with future log sequence number 2557069
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=207] with future log sequence number 2557025
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=343] with future log sequence number 2556981
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=206] with future log sequence number 2556981
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=342] with future log sequence number 2556921
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=205] with future log sequence number 2556921
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=341] with future log sequence number 2556877
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=204] with future log sequence number 2556877
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=322] with future log sequence number 2557219
2023-06-13 23:42:37 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=108, page number=5] with future log sequence number 2553824
